Date,Vegetable,Wholesale Price,Retail Min,Retail Max,Mall Min,Mall Max,Units
2022-01-03,Potato,29,33,37,35,48,1kg
2022-01-03,Raw Banana,4,5,5,5,7,1kg
2022-01-03,Amaranth Leaves,15,17,19,18,25,1kg
2022-01-03,Amla,80,92,102,96,132,1kg
2022-01-03,Ash gourd,27,31,34,32,45,1kg
2022-01-03,Baby Corn,52,60,66,62,86,1kg
2022-01-03,Banana Flower,19,22,24,23,31,1kg
2022-01-03,Capsicum,38,44,48,46,63,1kg
2022-01-03,Bitter Gourd,59,68,75,71,97,1kg
2022-01-03,Bottle Gourd,25,29,32,30,41,1kg
2022-01-03,Butter Beans,44,51,56,53,73,1kg
2022-01-03,Broad Beans,64,74,81,77,106,1kg
2022-01-03,Cabbage,45,52,57,54,74,1kg
2022-01-03,Carrot,55,63,70,66,91,1kg
2022-01-03,Cauliflower,45,52,57,54,74,1kg
2022-01-03,Cluster beans,42,48,53,50,69,1kg
2022-01-03,Coconut,26,30,33,31,43,1kg
2022-01-03,Colocasia Leaves,11,13,14,13,18,1kg
2022-01-03,Colocasia,22,25,28,26,36,1kg
2022-01-03,Coriander Leaves,10,12,13,12,17,1kg
2022-01-03,Corn,29,33,37,35,48,1kg
2022-01-03,Cucumber,25,29,32,30,41,1kg
2022-01-03,Curry Leaves,5,6,6,6,8,1kg
2022-01-03,Dill Leaves,14,16,18,17,23,1kg
2022-01-03,Drumsticks,257,296,326,308,424,1kg
2022-01-03,Brinjal,51,59,65,61,84,1kg
2022-01-03,Brinjal,148,170,188,178,244,1kg
2022-01-03,Elephant Yam,26,30,33,31,43,1kg
2022-01-03,Fenugreek Leaves,15,17,19,18,25,1kg
2022-01-03,French Beans,51,59,65,61,84,1kg
2022-01-03,Garlic,105,121,133,126,173,1kg
2022-01-03,Ginger,44,51,56,53,73,1kg
2022-01-03,Onion Green,44,51,56,53,73,1kg
2022-01-03,Green Peas,50,58,64,60,83,1kg
2022-01-03,Ivy Gourd,29,33,37,35,48,1kg
2022-01-03,Lemon,43,49,55,52,71,1kg
2022-01-03,Mango Raw,71,82,90,85,117,1kg
2022-01-03,Mint Leaves,10,12,13,12,17,1kg
2022-01-03,Mushroom,89,102,113,107,147,1kg
2022-01-03,Mustard Leaves,20,23,25,24,33,1kg
2022-01-03,Ladies Finger,60,69,76,72,99,1kg
2022-01-03,Pumpkin,22,25,28,26,36,1kg
2022-01-03,Radish,35,40,44,42,58,1kg
2022-01-03,Ridge Gourd,40,46,51,48,66,1kg
2022-01-03,Shallot,31,36,39,37,51,1kg
2022-01-03,Snake Gourd,36,41,46,43,59,1kg
2022-01-03,Sorrel Leaves,10,12,13,12,17,1kg
2022-01-03,Spinach,10,12,13,12,17,1kg
2022-01-03,Sweet Potato,37,43,47,44,61,1kg
2022-01-04,Onion Big,39,45,50,47,64,1kg
2022-01-04,Onion Small,65,75,83,78,107,1kg
2022-01-04,Tomato,48,55,61,58,79,1kg
2022-01-04,Green Chilli,40,46,51,48,66,1kg
2022-01-04,Beetroot,55,63,70,66,91,1kg
2022-01-04,Potato,29,33,37,35,48,1kg
2022-01-04,Raw Banana,4,5,5,5,7,1kg
2022-01-04,Amaranth Leaves,15,17,19,18,25,1kg
2022-01-04,Amla,80,92,102,96,132,1kg
2022-01-04,Ash gourd,27,31,34,32,45,1kg
2022-01-04,Baby Corn,52,60,66,62,86,1kg
2022-01-04,Banana Flower,19,22,24,23,31,1kg
2022-01-04,Capsicum,38,44,48,46,63,1kg
2022-01-04,Bitter Gourd,59,68,75,71,97,1kg
2022-01-04,Bottle Gourd,25,29,32,30,41,1kg
2022-01-04,Butter Beans,44,51,56,53,73,1kg
2022-01-04,Broad Beans,64,74,81,77,106,1kg
2022-01-04,Cabbage,45,52,57,54,74,1kg
2022-01-04,Carrot,55,63,70,66,91,1kg
2022-01-04,Cauliflower,45,52,57,54,74,1kg
2022-01-04,Cluster beans,42,48,53,50,69,1kg
2022-01-04,Coconut,26,30,33,31,43,1kg
2022-01-04,Colocasia Leaves,11,13,14,13,18,1kg
2022-01-04,Colocasia,22,25,28,26,36,1kg
2022-01-04,Coriander Leaves,10,12,13,12,17,1kg
2022-01-04,Corn,29,33,37,35,48,1kg
2022-01-04,Cucumber,25,29,32,30,41,1kg
2022-01-04,Curry Leaves,5,6,6,6,8,1kg
2022-01-04,Dill Leaves,14,16,18,17,23,1kg
2022-01-04,Drumsticks,257,296,326,308,424,1kg
2022-01-04,Brinjal,51,59,65,61,84,1kg
2022-01-04,Brinjal,148,170,188,178,244,1kg
2022-01-04,Elephant Yam,26,30,33,31,43,1kg
2022-01-04,Fenugreek Leaves,15,17,19,18,25,1kg
2022-01-04,French Beans,51,59,65,61,84,1kg
2022-01-04,Garlic,105,121,133,126,173,1kg
2022-01-04,Ginger,44,51,56,53,73,1kg
2022-01-04,Onion Green,44,51,56,53,73,1kg
2022-01-04,Green Peas,50,58,64,60,83,1kg
2022-01-04,Ivy Gourd,29,33,37,35,48,1kg
2022-01-04,Lemon,43,49,55,52,71,1kg
2022-01-04,Mango Raw,71,82,90,85,117,1kg
2022-01-04,Mint Leaves,10,12,13,12,17,1kg
2022-01-04,Mushroom,89,102,113,107,147,1kg
2022-01-04,Mustard Leaves,20,23,25,24,33,1kg
2022-01-04,Ladies Finger,60,69,76,72,99,1kg
2022-01-04,Pumpkin,22,25,28,26,36,1kg
2022-01-04,Radish,35,40,44,42,58,1kg
2022-01-04,Ridge Gourd,40,46,51,48,66,1kg
2022-01-04,Shallot,31,36,39,37,51,1kg
2022-01-04,Snake Gourd,36,41,46,43,59,1kg
2022-01-04,Sorrel Leaves,10,12,13,12,17,1kg
2022-01-04,Spinach,10,12,13,12,17,1kg
2022-01-04,Sweet Potato,37,43,47,44,61,1kg
2022-01-05,Onion Big,39,45,50,47,64,1kg
2022-01-05,Onion Small,65,75,83,78,107,1kg
2022-01-05,Tomato,48,55,61,58,79,1kg
2022-01-05,Green Chilli,40,46,51,48,66,1kg
2022-01-05,Beetroot,55,63,70,66,91,1kg
2022-01-05,Potato,29,33,37,35,48,1kg
2022-01-05,Raw Banana,4,5,5,5,7,1kg
2022-01-05,Amaranth Leaves,15,17,19,18,25,1kg
2022-01-05,Amla,80,92,102,96,132,1kg
2022-01-05,Ash gourd,27,31,34,32,45,1kg
2022-01-05,Baby Corn,52,60,66,62,86,1kg
2022-01-05,Banana Flower,19,22,24,23,31,1kg
2022-01-05,Capsicum,38,44,48,46,63,1kg
2022-01-05,Bitter Gourd,59,68,75,71,97,1kg
2022-01-05,Bottle Gourd,25,29,32,30,41,1kg
2022-01-05,Butter Beans,44,51,56,53,73,1kg
2022-01-05,Broad Beans,64,74,81,77,106,1kg
2022-01-05,Cabbage,45,52,57,54,74,1kg
2022-01-05,Carrot,55,63,70,66,91,1kg
2022-01-05,Cauliflower,45,52,57,54,74,1kg
2022-01-05,Cluster beans,42,48,53,50,69,1kg
2022-01-05,Coconut,26,30,33,31,43,1kg
2022-01-05,Colocasia Leaves,11,13,14,13,18,1kg
2022-01-05,Colocasia,22,25,28,26,36,1kg
2022-01-05,Coriander Leaves,10,12,13,12,17,1kg
2022-01-05,Corn,29,33,37,35,48,1kg
2022-01-05,Cucumber,25,29,32,30,41,1kg
2022-01-05,Curry Leaves,5,6,6,6,8,1kg
2022-01-05,Dill Leaves,14,16,18,17,23,1kg
2022-01-05,Drumsticks,257,296,326,308,424,1kg
2022-01-05,Brinjal,51,59,65,61,84,1kg
2022-01-05,Brinjal,148,170,188,178,244,1kg
2022-01-05,Elephant Yam,26,30,33,31,43,1kg
2022-01-05,Fenugreek Leaves,15,17,19,18,25,1kg
2022-01-05,French Beans,51,59,65,61,84,1kg
2022-01-05,Garlic,105,121,133,126,173,1kg
2022-01-05,Ginger,44,51,56,53,73,1kg
2022-01-05,Onion Green,44,51,56,53,73,1kg
2022-01-05,Green Peas,50,58,64,60,83,1kg
2022-01-05,Ivy Gourd,29,33,37,35,48,1kg
2022-01-05,Lemon,43,49,55,52,71,1kg
2022-01-05,Mango Raw,71,82,90,85,117,1kg
2022-01-05,Mint Leaves,10,12,13,12,17,1kg
2022-01-05,Mushroom,89,102,113,107,147,1kg
2022-01-05,Mustard Leaves,20,23,25,24,33,1kg
2022-01-05,Ladies Finger,60,69,76,72,99,1kg
2022-01-05,Pumpkin,22,25,28,26,36,1kg
2022-01-05,Radish,35,40,44,42,58,1kg
2022-01-05,Ridge Gourd,40,46,51,48,66,1kg
2022-01-05,Shallot,31,36,39,37,51,1kg
